공고명,지원대상,주관기관,사업유형,신청기간,등록일자,해시태그,url,공고번호
[전북] 익산시 2025년 하반기 희망더드림 특례보증 대출지원사업 공고,중소기업,전북특별자치도,유관기관지원사업,예산 소진시까지,2025-08-06T14:47:07,"['금융', '전북', '희망더드림', '전북특별자치도', '2025', '익산시', '특례보증', '이차보전', '대출', '기초자치단체']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113381,
[전북] 군산시 2025년 영세 소상공인 임대료 지원사업 변경(확대) 공고,소상공인,전북특별자치도,유관기관지원사업,예산 소진시까지,2025-08-06T14:35:29,"['경영', '전북', '2025', '군산시', '전북특별자치도', '기초자치단체', '영세소상공인', '임대료']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113361,
[경기] 2025년 9월 동행축제 소상공인 라이브커머스 참가기업 모집 공고,소상공인,경기도,유관기관지원사업,2025-07-28 ~ 2025-08-18,2025-08-06T14:33:24,"['내수', '경기', '동행축제', '판매촉진', '2025', '소담스퀘어', '지방중소벤처기업청', '홍보', '라이브커머스', '경기도', '소상공인']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113360,
[전남] 진도군 2025년 2차 진도 울금 등 특산자원을 활용한 전후방 연관산업 활성화 지원사업 지원기업 모집 공고(시군구연고산업육성사업 협업프로젝트),중소기업,전라남도,유관기관지원사업,2025-08-06 ~ 2025-08-13,2025-08-06T14:25:28,"['기술', '경영', '전남', '전남바이오진흥원', '진도군', '전라남도', '전남테크노파크', '중소기업기술정보진흥원', '중소벤처기업부', '마케팅', '2025', '시군구', '연고산업육성', '협업프로젝트', '프로그램', '시장진출확보', '상용화', '전ㆍ후방', '사업화', '기술사업화']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113340,
[대구] 2025년 지역기업 성장사다리 지원사업 예비선도(지역스타)기업 추가 모집 공고,중소기업,대구광역시,유관기관지원사업,2025-08-11 ~ 2025-08-14,2025-08-06T14:19:31,"['금융', '기술', '창업', '경영', '대구', '2025', '대구테크노파크', '대구광역시', '지역기업', '성장사다리', '예비선도', '지역스타', '프로그램', '사업화패키지', '글로벌도약패키지', 'ESG상생패키지', '컨설팅', '인증', '특허', '시험분석', '상품개발', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113339,
[충남] 2025년 OK보령ㆍ창업기업 성장지원사업 사업화 지원사업 창업기업 추가 모집 공고(일반 지역ㆍ산업맞춤형 일자리창출 지원사업),창업벤처,충청남도,유관기관지원사업,2025-07-29 ~ 2025-08-11,2025-08-06T14:17:44,"['금융', '인력', '창업', '경영', '충남', 'OK보령', '성장지원사업', '2025', '지역', '산업맞춤형', '사업안정화', '보령시', '창업아이템', '사업화', '기초자치단체', '창업기업', '일자리창출', '충청남도']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113356,
2025년 3차 무탄소 전력활용 수소산업육성을 위한 기업지원 사업 공고,중소기업,전라남도,유관기관지원사업,2025-08-04 ~ 2025-08-15,2025-08-06T14:07:35,"['기술', '수출', '내수', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '규제돌파', '전력활용', '현장기술', '무탄소', '영광군', '수소산업', '장비', '연구시설', '해외바이어', '투자유치', '전시회', '전라남도', '전남테크노파크', '2025']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113335,
[경북] 영천시 2025년 3차년도 청년창업 및 이전기업 지원사업 참여기업 추가 모집 공고(금호 이웃사촌마을 조성사업),창업벤처,경상북도,유관기관지원사업,2025-08-06 ~ 2025-09-01,2025-08-06T13:57:47,"['기술', '창업', '경영', '경북', '금호이웃사촌마을', '금호읍', '상품화제작', '창업활동비', '영천시', '청년창업', '시제품제작', '경상북도', '경북테크노파크', '2025', '일자리창출', '이전기업', '수혜기업', '창업인프라', '홍보', '마케팅', '지역경제', '활성화']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113333,
2025년 하반기 기상청 혁신제품 지정 추진계획 공고,중소기업,기상청,유관기관지원사업,2025-08-06 ~ 2025-09-30,2025-08-06T13:44:14,"['기술', '수출', '경영', '기타', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '초기시장진입', '지정제도', '혁신성', '2025', '판로구축', '공공성', '혁신제품지정', '국가연구개발사업', '혁신제품', '사업화', '기상청', '한국기상산업기술원', '중소기업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113353,
[인천] 2025년 일자리 창출 특례보증 시행 공고,소상공인,인천광역시,유관기관지원사업,예산 소진시까지,2025-08-06T13:35:49,"['금융', '인력', '인천', '제대군인고용우수기업', '2025', '신규인력고용', '일자리창출우수기업', '인천신용보증재단', '인천광역시', '소상공인', '보증', '이자지원', '일자리창출', '특례보증']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113352,
[인천] 2025년 상권 활성화 특례보증 시행 공고,소상공인,인천광역시,유관기관지원사업,예산 소진시까지,2025-08-06T13:27:14,"['금융', '인천', '이자지원', '2025', '신용보증재단', '지역', '음식점업', '상권', '활성화', '도소매업', '특례보증', '인천신용보증재단', '서비스업', '인천광역시', '소상공인']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113350,
2025년 반도체 후공정 소부장기업 정부 연구개발 지원사업 과제 기획 지원 모집 공고,중소기업,인천광역시,유관기관지원사업,2025-08-06 ~ 2025-08-22,2025-08-06T13:26:11,"['기술', '경영', '인천', '레전드 50+ 2.0 참여기업', '인천반도체포럼회원사', '사업계획컨설팅', '자문료', '후공정', '2025', '소부장기업', '전문가매칭', '반도체', '인천테크노파크', '인천광역시', '시장조사', 'R&D', '특허']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113349,
2025년 종하 스타트업 INNO-CODER 사업 예비창업자 모집 공고,창업벤처,울산광역시,유관기관지원사업,2025-08-06 ~ 2025-08-22,2025-08-06T13:20:09,"['창업', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', 'INNO-CODER', 'MVP제작', '2025', '기술교육', '울산창조경제혁신센터', '소프트웨어', '울산광역시', '예비창업자', 'AI', '멘토링']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113328,
[경기] 용인시 2025년 제2차 해외진출 종합지원사업(해외물류비) 공고,중소기업,경기도,유관기관지원사업,2025-08-13 ~ 2025-08-27,2025-08-06T13:14:48,"['금융', '수출', '경영', '경기', '수출제품', '해외시장진출', '용인시산업진흥원', '용인시', '수출활성화', '물류비', '해외물류비', '경기도', '중소기업', '2025']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113327,
[대구] 2025년 대한민국 ICT융합 엑스포(FIX 2025) 공동관 조성 지원사업 모집 공고(메타버스지원센터 운영 사업),중소기업,대구광역시,유관기관지원사업,2025-08-11 ~ 2025-08-14,2025-08-06T13:09:33,"['내수', '경영', '대구', '부대시성장치', '2025', '대구디지털혁신진흥원', '확장현실', '전시부스', '융합', '비즈니스상담회', '비즈니스상담', '브로슈어', '엑스포', '공동관', '구매상담회', 'XR', '수출상담회', '홍보물제작', 'ICT', '대구광역시', '전시회', '메타버스', '세미나']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113326,
